"TestId","LocalComputerName","TargetDomain","TargetServerName","TargetIpAddress","Protocol","Port","Service","Status","TcpTestSucceeded","PingSucceeded","SourceAddress","RemoteAddress","ResolvedAddresses","StartedAt","DurationMs","ErrorMessage"
"EXAD0013","SRC-DC02","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","5985","WinRM HTTP","Pass","True","True","192.0.2.12","198.51.100.21","198.51.100.21","2026-06-08T09:15:12","28",""
"EXAD0014","SRC-DC02","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","5986","WinRM HTTPS","Pass","True","True","192.0.2.12","198.51.100.21","198.51.100.21","2026-06-08T09:15:13","29",""
"EXAD0015","SRC-DC02","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","9389","Active Directory Web Services","Pass","True","True","192.0.2.12","198.51.100.21","198.51.100.21","2026-06-08T09:15:14","30",""
"EXAD0016","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","ICMP","","ICMP","Pass","","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:15","19",""
"EXAD0017","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","53","DNS","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:16","32",""
"EXAD0018","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","88","Kerberos","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:17","24",""
"EXAD0019","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","135","RPC Endpoint Mapper","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:18","25",""
"EXAD0020","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","139","NetBIOS Session Service","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:19","26",""
"EXAD0021","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","389","LDAP","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:20","27",""
"EXAD0022","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","445","SMB / Microsoft-DS","Fail","False","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:21","3067",""
"EXAD0023","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","464","Kerberos Password Change / Set","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:22","29",""
"EXAD0024","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","636","LDAPS","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:23","30",""
"EXAD0025","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","3268","Global Catalog","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:24","31",""
"EXAD0026","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","3269","Global Catalog over SSL","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:25","32",""
"EXAD0027","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5722","DFS Replication","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:26","24",""
"EXAD0028","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5985","WinRM HTTP","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:27","25",""
"EXAD0029","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5986","WinRM HTTPS","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:28","26",""
"EXAD0030","SRC-DC02","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","9389","Active Directory Web Services","Pass","True","True","192.0.2.12","198.51.100.22","198.51.100.22","2026-06-08T09:15:29","27",""
"EXAD0031","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","ICMP","","ICMP","Pass","","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:30","19",""
"EXAD0032","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","53","DNS","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:31","29",""
"EXAD0033","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","88","Kerberos","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:32","30",""
"EXAD0034","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","135","RPC Endpoint Mapper","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:33","31",""
"EXAD0035","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","139","NetBIOS Session Service","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:34","32",""
"EXAD0036","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","389","LDAP","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:35","24",""
"EXAD0037","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","445","SMB / Microsoft-DS","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:36","25",""
"EXAD0038","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","464","Kerberos Password Change / Set","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:37","26",""
"EXAD0039","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","636","LDAPS","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:38","27",""
"EXAD0040","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","3268","Global Catalog","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:39","28",""
"EXAD0041","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","3269","Global Catalog over SSL","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:40","29",""
"EXAD0042","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","5722","DFS Replication","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:41","30",""
"EXAD0043","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","5985","WinRM HTTP","Fail","False","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:42","3088",""
"EXAD0044","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","5986","WinRM HTTPS","Fail","False","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:43","3089",""
"EXAD0045","SRC-DC02","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","9389","Active Directory Web Services","Pass","True","True","192.0.2.12","198.51.100.23","198.51.100.23","2026-06-08T09:15:44","24",""
